Date_Forecast;Forecast_T_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_T_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
26/03/2008;0.009570133;0.034613641;0.025418521;0.02564644;0.040501324;0.030427896;0.043345604;-0.008804405;0.01948168;0.030981514;0.057527007;0.049388359;0.04909064;0.063429831;0.053426451;0.064450584;9.82E-05
27/03/2008;0.015991632;0.032790089;0.024629506;0.026923409;0.038498318;0.028649391;0.039818956;-0.011526659;0.018709973;0.051861112;0.056003983;0.048602095;0.050338342;0.061796685;0.051819806;0.061785935;7.39E-06
28/03/2008;0.016323244;0.031084935;0.024902441;0.029638839;0.037770981;0.028053538;0.036268382;-0.007981958;0.016853414;0.052973375;0.054172584;0.048808562;0.052685799;0.060815658;0.05103306;0.0585939;2.81E-07
31/03/2008;0.016593186;0.02947415;0.02389497;0.030181628;0.035866437;0.026282311;0.033505735;0.005671135;0.015363765;0.053927395;0.052743382;0.047753673;0.053133904;0.059219539;0.049337995;0.056325855;1.51E-06
01/04/2008;0.013888189;0.027575137;0.022015323;0.026050484;0.033222051;0.023718725;0.030504261;0.035267092;0.015641716;0.045134501;0.051136264;0.045974234;0.04955192;0.057120018;0.046993944;0.053846937;3.07E-06
02/04/2008;0.016357666;0.034202695;0.021088304;0.022615949;0.041330885;0.030212089;0.027731015;-0.001935943;0.002843856;0.053179048;0.056995883;0.045156326;0.046092345;0.063965405;0.0532074;0.051216802;0.000182623
03/04/2008;0.008970007;0.031848222;0.019277356;0.020663896;0.037205594;0.026385459;0.032320224;0.001300792;0.004431678;0.029030534;0.055009853;0.043121187;0.044072326;0.060611283;0.049632581;0.055427349;2.06E-05
04/04/2008;0.004722379;0.029602382;0.017747553;0.017949937;0.033369471;0.022699744;0.031808348;0.00079568;0.005170033;0.015212142;0.053187413;0.041476049;0.041201654;0.057578053;0.046189074;0.05513423;2.00E-07
07/04/2008;0.004532408;0.027520567;0.015941719;0.015332484;0.028726032;0.019278862;0.029481545;0.00156038;0.009794122;0.0145752;0.051305743;0.03924054;0.038051909;0.053314463;0.04245468;0.053125947;2.77E-05
08/04/2008;0.016471365;0.025508046;0.014238557;0.01297496;0.024710216;0.016481702;0.026441003;-0.005113083;0.009121591;0.053445051;0.049463133;0.037073483;0.035045803;0.049392484;0.039221483;0.050377634;5.40E-05
09/04/2008;0.011240161;0.024003675;0.013843121;0.0135928;0.023791042;0.015608372;0.023323401;-0.008124991;0.010440294;0.036420013;0.048080574;0.03660584;0.035935219;0.04862583;0.038288794;0.047373805;6.40E-07
10/04/2008;0.0132745;0.022874704;0.013890726;0.015241123;0.022963895;0.015327124;0.020741929;0.004464073;0.015559174;0.04305505;0.04693398;0.03663905;0.038065836;0.04773736;0.037921098;0.04463405;5.22E-06
11/04/2008;0.017662374;0.021536298;0.013039799;0.013260404;0.021833643;0.013971966;0.01880426;-0.020584597;0.015471024;0.057333754;0.045599985;0.035491816;0.035519071;0.046672101;0.036287263;0.0425572;4.80E-06
14/04/2008;0.01379028;0.023401993;0.019184637;0.020732139;0.025786238;0.01702833;0.01739617;-0.003389523;0.011211077;0.044687824;0.047446661;0.043155957;0.04445877;0.050795861;0.040074439;0.040786316;6.65E-06
15/04/2008;0.012622905;0.021803691;0.017792253;0.019726713;0.02296728;0.015503115;0.018586939;0.004589329;0.010747208;0.04092313;0.045827038;0.041501169;0.043296613;0.04784132;0.038164769;0.042264312;3.52E-06
16/04/2008;0.01016613;0.020122911;0.016199432;0.016992409;0.020016892;0.013886099;0.017806425;0.022437649;0.013416796;0.032929464;0.044050784;0.039542141;0.040097374;0.044549214;0.036028213;0.041402618;1.06E-05
17/04/2008;0.013139814;0.022675389;0.015336916;0.014799444;0.025749589;0.016943302;0.016891748;0.000622721;0.009849507;0.042604452;0.046264089;0.038403669;0.03720837;0.050305349;0.039575677;0.039933761;1.08E-05
18/04/2008;0.012296349;0.021398136;0.014236083;0.01301744;0.023796731;0.015082039;0.018230933;0.017976454;0.009955515;0.039849225;0.045064952;0.037033377;0.03492921;0.048516697;0.037428368;0.041641794;5.48E-06
21/04/2008;0.010612868;0.021983245;0.013721168;0.011996542;0.026522128;0.016740203;0.017879035;-0.001554733;0.006450859;0.034347647;0.045626369;0.036272996;0.033414641;0.051344219;0.039433421;0.041155882;1.73E-05
22/04/2008;0.006243744;0.021336012;0.012473708;0.011091299;0.027641781;0.015425744;0.01838318;-0.008849273;0.006403333;0.02006633;0.044567318;0.034528496;0.032087687;0.051923988;0.037635912;0.041582947;2.55E-08
23/04/2008;0.008013556;0.020807106;0.012916897;0.012879522;0.027609135;0.015456173;0.01780726;0.002895721;0.004590942;0.025869299;0.044088716;0.035240432;0.034711424;0.052002252;0.037761874;0.040944113;1.17E-05
24/04/2008;0.011155122;0.01960887;0.011823043;0.011258811;0.023850274;0.013942774;0.017009185;0.006421615;0.005266276;0.03613153;0.042864751;0.033669584;0.032412678;0.048256422;0.035828403;0.040077204;3.47E-05
25/04/2008;0.008817432;0.018585317;0.01095672;0.00998451;0.02212295;0.013318932;0.015756181;0.006473737;0.008928463;0.028513504;0.04184739;0.032409468;0.030520932;0.046558225;0.035073046;0.038614568;1.23E-08
28/04/2008;0.00922149;0.017892064;0.010003559;0.008756659;0.022289288;0.012644925;0.014602018;-0.001052155;0.008722388;0.029804909;0.041039418;0.030988145;0.028555521;0.046447118;0.034089796;0.037089584;2.49E-07
29/04/2008;0.007796447;0.016494768;0.009138614;0.008064203;0.018227725;0.011342914;0.013388397;-0.003896273;0.009183914;0.025178354;0.0395038;0.029608582;0.027409499;0.042012465;0.03229086;0.03556745;1.93E-06
30/04/2008;0.007698521;0.015234191;0.008655483;0.008300052;0.016371117;0.010665062;0.012128614;-0.003853718;0.008905307;0.024858571;0.038111518;0.028850148;0.027856886;0.039910238;0.03136538;0.033890597;1.46E-06
01/05/2008;0.00722554;0.014054161;0.008245277;0.008562098;0.014816572;0.010004782;0.011088572;0.016995468;0.013296038;0.023317348;0.036731777;0.028246833;0.028431904;0.038047123;0.030471628;0.032447521;3.69E-05
