Date_Forecast;Forecast_LSTM_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_LSTM_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
03/04/2008;0.004188632;0.031848222;0.019277356;0.020663892;0.037205657;0.026385459;0.032320224;0.001300792;0.004431678;0.013464351;0.055009853;0.043121187;0.044072299;0.060611379;0.049632581;0.055427349;5.91E-08
04/04/2008;0.009569649;0.029602382;0.017747577;0.017949937;0.033369469;0.022699744;0.031808343;0.00079568;0.005170033;0.030992849;0.053187413;0.041476103;0.041201661;0.05757805;0.046189074;0.05513422;1.94E-05
07/04/2008;0.005859463;0.027520567;0.015941719;0.015332484;0.028726066;0.019278862;0.029481545;0.00156038;0.009794122;0.018895544;0.051305743;0.03924054;0.038051909;0.053314513;0.04245468;0.053125947;1.55E-05
08/04/2008;0.007979992;0.025508046;0.014238543;0.012974959;0.024710254;0.016481702;0.026440999;-0.005113083;0.009121591;0.025800648;0.049463133;0.03707345;0.0350458;0.04939255;0.039221483;0.050377632;1.30E-06
09/04/2008;0.010856572;0.024003675;0.013843121;0.013591345;0.023791075;0.015608372;0.023323401;-0.008124991;0.010440294;0.035171205;0.048080574;0.03660584;0.035933381;0.048625885;0.038288794;0.047373805;1.73E-07
10/04/2008;0.008737005;0.022874704;0.013890726;0.015241115;0.022963853;0.015327124;0.020741929;0.004464073;0.015559174;0.028282842;0.04693398;0.03663905;0.03806584;0.047737289;0.037921098;0.04463405;4.65E-05
11/04/2008;0.013477396;0.021536298;0.013039799;0.013260405;0.021833631;0.013971966;0.01880426;-0.020584597;0.015471024;0.043709195;0.045599985;0.035491816;0.035519086;0.046672075;0.036287263;0.0425572;3.97E-06
14/04/2008;0.003692708;0.023401993;0.019184616;0.020732139;0.025786234;0.01702833;0.01739617;-0.003389523;0.011211077;0.011814302;0.047446661;0.043155911;0.04445877;0.050795839;0.040074439;0.040786316;5.65E-05
15/04/2008;0.006237812;0.021803691;0.017792291;0.019726706;0.022967294;0.015503115;0.018586939;0.004589329;0.010747208;0.020135906;0.045827038;0.041501249;0.043296581;0.047841345;0.038164769;0.042264312;2.03E-05
16/04/2008;0.009687035;0.020122911;0.016199432;0.016992413;0.020016893;0.013886099;0.017806425;0.022437649;0.013416796;0.03136973;0.044050784;0.039542141;0.040097392;0.044549216;0.036028213;0.041402618;1.39E-05
17/04/2008;0.011129797;0.022675389;0.015336939;0.014799447;0.02574954;0.016943302;0.016891748;0.000622721;0.009849507;0.036060668;0.046264089;0.038403726;0.037208395;0.050305273;0.039575677;0.039933761;1.64E-06
18/04/2008;0.007981902;0.021398136;0.01423612;0.01301744;0.023796773;0.015082039;0.018230933;0.017976454;0.009955515;0.025803169;0.045064952;0.03703347;0.034929213;0.048516777;0.037428368;0.041641794;3.90E-06
21/04/2008;0.010203524;0.021983245;0.013721168;0.011996542;0.026522152;0.016740203;0.017879035;-0.001554733;0.006450859;0.033014994;0.045626369;0.036272997;0.033414642;0.051344255;0.039433421;0.041155882;1.41E-05
22/04/2008;0.006842157;0.021336012;0.012473708;0.011091299;0.027641762;0.015425744;0.01838318;-0.008849273;0.006403333;0.022014514;0.044567318;0.034528496;0.032087687;0.051923957;0.037635912;0.041582947;1.93E-07
23/04/2008;0.006603493;0.020807106;0.012916897;0.012879519;0.027609077;0.015456173;0.01780726;0.002895721;0.004590942;0.021278717;0.044088716;0.035240432;0.034711392;0.052002172;0.037761874;0.040944113;4.05E-06
24/04/2008;0.006336709;0.01960887;0.011823043;0.011258815;0.023850296;0.013942774;0.017009185;0.006421615;0.005266276;0.020444767;0.042864751;0.033669584;0.032412693;0.048256452;0.035828403;0.040077204;1.15E-06
